URL__ID,URL,Positive_Score,Negative_Score,Polarity_Score,Subjectivity_Score,Word_Count,Complex_Words_Count,Avg sentence length,Percentage of complex words,Fog index,Avg number of words per sentence,Avg word length,Syllable_per_word,Personal_Pronoun
37,https://insights.blackcoffer.com/ai-in-healthcare-to-improve-patient-outcomes/,0.145,0.044,0,0,2012,514,158.4935065,25.54671968,225.2987013,26.12987013,5.8,1.62972167,0
38,https://insights.blackcoffer.com/what-if-the-creation-is-taking-over-the-creator/,0.149,0.084,0.9999995,0.001218027,1642,266,106.125,16.19975639,121.455,20.525,5.007087172,1.40682095,6
39,https://insights.blackcoffer.com/what-jobs-will-robots-take-from-humans-in-the-future/,0.075,0.036,0.999999,0.000521648,1917,441,131.0941176,23.00469484,200.4,22.55294118,5.539411765,1.580594679,2
40,https://insights.blackcoffer.com/will-machine-replace-the-human-in-the-future-of-work/,0.145,0.044,0,0.001091703,1832,277,103.1157895,15.12008734,129.7515789,19.28421053,4.91399152,1.409388646,18
41,https://insights.blackcoffer.com/will-ai-replace-us-or-work-with-us/,0.146,0.051,-0.999999,0.000504796,1981,363,138.0506329,18.32407875,163.2151899,25.07594937,5.243538196,1.458354366,13
42,https://insights.blackcoffer.com/man-and-machines-together-machines-are-more-diligent-than-humans-blackcoffe/,0.167,0.038,0,0,1494,251,125.453125,16.80053548,116.51875,23.34375,5.163972286,1.431057564,13
43,https://insights.blackcoffer.com/in-future-or-in-upcoming-years-humans-and-machines-are-going-to-work-together-in-every-field-of-work/,0.102,0.025,0.9999995,0.002378121,841,161,101.7555556,19.14387634,73.73333333,18.68888889,5.223129252,1.48156956,7
44,https://insights.blackcoffer.com/how-machine-learning-will-affect-your-business/,0.163,0.057,0.499999875,0.004872107,821,134,120.3611111,16.32155907,64.86666667,22.80555556,4.954545455,1.371498173,0
45,https://insights.blackcoffer.com/deep-learning-impact-on-areas-of-e-learning/,0.147,0.046,0.9999995,0.000827815,2416,429,161.4197531,17.75662252,193.8518519,29.82716049,5.049605934,1.453642384,5
46,https://insights.blackcoffer.com/how-to-protect-future-data-and-its-privacy-blackcoffer/,0.119,0.096,0.9999995,0.000834376,2397,396,121,16.52065081,194.4,23.04807692,5.347672065,1.433875678,0
47,https://insights.blackcoffer.com/how-machines-ai-automations-and-robo-human-are-effective-in-finance-and-banking/,0.132,0.058,0.9999995,0.001519757,1316,329,136.5344828,25,144.6551724,22.68965517,5.583124478,1.568389058,9
48,https://insights.blackcoffer.com/ai-human-robotics-machine-future-planet-blackcoffer-thinking-jobs-workplace/,0.133,0.065,0.999999,0.00070028,1428,248,92.91463415,17.36694678,114.8,17.41463415,5.178861789,1.448179272,5
